Artist,Track,Album,Danceability,Energy,Valence,Tempo,Track_ID
Chancho En Piedra,Dejando Libre el Amor,Funkybarítico Hedónico Fantástico,,,,,4IvYW5NRB5U8FE1nHTQkGn
Chancho Piedra,La Granja De Los Super Bebes,Rindanse Terricolas,,,,,54YPh7L0vvCQhBBNMCnvVQ
Chancho En Piedra,La Vida Del Oso,Grandes Exitos De Ayer y Oink!!,,,,,3Cw6Mp5VcdzTzsuiMhtwQL
Chancho Piedra,No Joda,Rindanse Terricolas,,,,,5lUEV9GJphjeSCKvYsDupp
Chancho En Piedra,Selfie,Funkybarítico Hedónico Fantástico,,,,,5FuEh1enIsb8dGrBxodOou
Chancho En Piedra,Funkybarítico,Funkybarítico Hedónico Fantástico,,,,,76XBnA6HsX3L4tGrx8ZBrE
Chancho En Piedra,Mi Mejor Momento,Funkybarítico Hedónico Fantástico,,,,,3q1g0u3lNlM9jtBz3WdjbC
Chancho En Piedra,Multirricachon,Desde El Batiscafo,,,,,4HbPeJG4bfP3SmInSoxnLL
Chancho En Piedra,Solo,Funkybarítico Hedónico Fantástico,,,,,6iLMjoNqMJuC9sneOgbaQu
Chancho En Piedra,Locura Espacial,Rindanse Terricolas,,,,,0FauDhvAuanceOTIGQZAl4
Chancho En Piedra,Lophophora,Marca Chancho,,,,,58fFlF7sOSo0eOgNajFWO9
Chancho En Piedra,Volantín,Rindanse Terricolas,,,,,7aeHztFLa7y9oRCmnJiS7U
Chancho En Piedra,Eligiendo Una Reina,Marca Chancho,,,,,4isHeZRxdYw7IgGvl8OPwq
Chancho En Piedra,Condor,Grandes Exitos De Ayer y Oink!!,,,,,01liw2951Dy4HwGzHYtaEC
Chancho En Piedra,El Mundo Que Nos Tocó Vivir,Funkybarítico Hedónico Fantástico,,,,,1KEi9GBOe3bXTj1WGM282v
Chancho En Piedra,Historias De Amor Y Condón,Marca Chancho,,,,,5dMaHqWYTJyDuCsBbVFqXd
Chancho En Piedra,El Impostor,Grandes Exitos De Ayer y Oink!!,,,,,0G1muZ0GZ2WnFO1SJenL3W
Chancho En Piedra,Toc,Funkybarítico Hedónico Fantástico,,,,,6g0Rc16N5AAeOL5n26PsA2
Chancho En Piedra,Yakuza,Rindanse Terricolas,,,,,5g7ryRKGlhlVMjuFPjTN9W
Chancho En Piedra,Tren a la Luna,Funkybarítico Hedónico Fantástico,,,,,6JCO6XWIAWAQcG2UG7pZAG
Chancho En Piedra,Almacen,Grandes Exitos De Ayer y Oink!!,,,,,2QZpAXz6sAQwKXJTFa0OiW
Chancho En Piedra,Bola de Fuego,Bola de Fuego,,,,,555e5RYDYUbGDib7NbD7m6
Chancho En Piedra,La Gallina No!,Otra Cosa Es Con Guitarra,,,,,3LXitgpwMg2JALJXGg5Ai1
Chancho En Piedra,Y Yo por Qué Tengo Que Parar,Funkybarítico Hedónico Fantástico,,,,,7nePILQMOY7uSiwjbh1GFj
Chancho En Piedra,"W.W.W. (Weón, Weón, Weón)",Funkybarítico Hedónico Fantástico,,,,,51OLO8S4tVuqfcfItmsvti
Chancho En Piedra,Llamas,Funkybarítico Hedónico Fantástico,,,,,6qroEtp9uykYXJzWvkU2XB
Chancho En Piedra,Todo Se Me Pasa,Todo Se Me Pasa,,,,,4GLmJRkDnN5UkzCubigj5I
Los Prisioneros,Corazones Rojos - 1996 Remaster,"Ni por la Razon, Ni por la Fuerza - Antologia",,,,,1YqfuWtGLQPFhmLSLDxEHd
Los Prisioneros,Nunca Quedas Mal Con Nadie,"Ni por la Razon, Ni por la Fuerza - Antologia",,,,,3sXcNNIsVso8d8gZGwcCoj
Los Prisioneros,Sexo,La Voz de los '80 (Edición 30 Años),,,,,4kngkpQ3T9wUzZrdfQr0Wq
Los Prisioneros,Quieren Dinero,Pateando Piedras,,,,,5De5NuCIu9zcBfgSFdXPbA
Los Prisioneros,We Are Sudamerican Rockers - Remaster 1996,"Ni por la Razon, Ni por la Fuerza - Antologia",,,,,1Iz4GL7ZKxLXlKYgImjbVG
Los Prisioneros,Tren Al Sur,Corazones,,,,,6W1BLmVBxkqZwFQcORQLnv
Los Prisioneros,La Voz de los '80,La Voz de los '80 (Edición 30 Años),,,,,0VvwpKqD7cOYubrK030fGR
Los Prisioneros,Amiga Mía,Corazones,,,,,0swl1tZWBEBOdRVPN6axXe
Los Prisioneros,No Necesitamos Banderas,La Voz de los '80 (Edición 30 Años),,,,,3J8UPLZhNFQi3o2qIvwLjY
Los Prisioneros,¿Quién Mató A Marilyn?,Grandes Exitos,,,,,5t5Wwf18M5EcMIjenvr8fp
Los Prisioneros,Mentalidad Televisiva,La Voz de los '80 (Edición 30 Años),,,,,1OZndFlWMi0FkjGyIbV1DS
Los Prisioneros,Paramar,La Voz de los '80 (Edición 30 Años),,,,,6YbjZUR8F5ewBI1kHaIA1G
Los Prisioneros,Estrechez de Corazón - 1996 Remaster,"Ni por la Razon, Ni por la Fuerza - Antologia",,,,,4oIYaDOtiYsus7PalvU6rS
Los Prisioneros,El Baile De Los Que Sobran,Pateando Piedras,,,,,15T3otpUnJKin5njR8x0Tx
Los Bunkers,Bailando Solo,La Velocidad de la Luz,,,,,2VKDC0b1f1tXusjc6OvPmU
Los Bunkers,Nada Nuevo Bajo El Sol,16 Éxitos De Oro,,,,,2kNCM9eDVpe0Haby7wwM9p
Los Bunkers,Quién Fuera,16 Éxitos De Oro,,,,,2CmOoU9IDqmbj7rpHxzoWQ
Los Bunkers,Mientele,Vida de perros,,,,,1a55RLAQ1fp29uAXgAG4lf
Los Bunkers,Ven aquí,En Vivo,,,,,5GEGj9FA7dnRlh4NOrJZ2s
Los Bunkers,Ahora que no estas,Vida de perros,,,,,2Kzcid8dxbunu4qu8XnipT
Los Bunkers,Llueve sobre la ciudad,Vida de perros,,,,,5xwcp9TY6zoxmVp2FK1SFx
Los Bunkers,Ángel Para Un Final,16 Éxitos De Oro,,,,,6VC8t52S2SjIl2mIqyXHdr
Los Bunkers,La Exiliada del Sur,Grandes Exitos,,,,,6OE6ZLMe8RXLUuzYdQQm1T
Los Bunkers,Tu,Vida de perros,,,,,0TMjqbrQm1aWcANKdmq6E0
